#λ,Emissivity
#μm,
0.4,0.03
0.5,0.03
0.6,0.03
0.7,0.03
0.8,0.03
0.9,0.03
1,0.03
1.1,0.03
1.2,0.03
1.3,0.03
1.4,0.03
1.5,0.03
1.6,0.03
1.7,0.03
1.8,0.03
1.9,0.03
2,0.03
2.1,0.03
2.2,0.03
2.3,0.03
2.4,0.03
2.5,0.03
2.6,0.03
2.7,0.03
2.8,0.03
2.9,0.03
3,0.03
3.1,0.03
3.2,0.03
3.3,0.03
3.4,0.03
3.5,0.03
3.6,0.03
3.7,0.03
3.8,0.03
3.9,0.03
4,0.03
4.1,0.03
4.2,0.03
4.3,0.03
4.4,0.03
4.5,0.03
4.6,0.03
4.7,0.03
4.8,0.03
4.9,0.03
5,0.03
5.1,0.03
5.2,0.03
5.3,0.03
5.4,0.03
5.5,0.03
5.6,0.03
5.7,0.03
5.8,0.03
5.9,0.03
6,0.03
6.1,0.03
6.2,0.03
6.3,0.03
6.4,0.03
6.5,0.03
6.6,0.03
6.7,0.03
6.8,0.03
6.9,0.03
7,0.03
7.1,0.03
7.2,0.03
7.3,0.03
7.4,0.03
7.5,0.03
7.6,0.03
7.7,0.03
7.8,0.03
7.9,0.03
8,0.03
8.1,0.03
8.2,0.03
8.3,0.03
8.4,0.03
8.5,0.03
8.6,0.03
8.7,0.03
8.8,0.03
8.9,0.03
9,0.03
9.1,0.03
9.2,0.03
9.3,0.03
9.4,0.03
9.5,0.03
9.6,0.03
9.7,0.03
9.8,0.03
9.9,0.03
10,0.03
10.1,0.03
10.2,0.03
10.3,0.03
10.4,0.03
10.5,0.03
10.6,0.03
10.7,0.03
10.8,0.03
10.9,0.03
11,0.03
11.1,0.03
11.2,0.03
11.3,0.03
11.4,0.03
11.5,0.03
11.6,0.03
11.7,0.03
11.8,0.03
11.9,0.03
12,0.03
12.1,0.03
12.2,0.03
12.3,0.03
12.4,0.03
12.5,0.03
12.6,0.03
12.7,0.03
12.8,0.03
12.9,0.03
13,0.03
13.1,0.03
13.2,0.03
13.3,0.03
13.4,0.03
13.5,0.03
13.6,0.03
13.7,0.03
13.8,0.03
13.9,0.03
14,0.03
14.1,0.03
14.2,0.03
14.3,0.03
14.4,0.03
14.5,0.03
14.6,0.03
14.7,0.03
14.8,0.03
14.9,0.03
15,0.03
15.1,0.03
15.2,0.03
15.3,0.03
15.4,0.03
15.5,0.03
15.6,0.03
15.7,0.03
15.8,0.03
15.9,0.03
16,0.03
16.1,0.03
16.2,0.03
16.3,0.03
16.4,0.03
16.5,0.03
16.6,0.03
16.7,0.03
16.8,0.03
16.9,0.03
17,0.03
17.1,0.03
17.2,0.03
17.3,0.03
17.4,0.03
17.5,0.03
17.6,0.03
17.7,0.03
17.8,0.03
17.9,0.03
18,0.03
18.1,0.03
18.2,0.03
18.3,0.03
18.4,0.03
18.5,0.03
18.6,0.03
18.7,0.03
18.8,0.03
18.9,0.03
19,0.03
19.1,0.03
19.2,0.03
19.3,0.03
19.4,0.03
19.5,0.03
19.6,0.03
19.7,0.03
19.8,0.03
19.9,0.03
20,0.03
20.1,0.03
20.2,0.03
20.3,0.03
20.4,0.03
20.5,0.03
20.6,0.03
20.7,0.03
20.8,0.03
20.9,0.03
21,0.03
21.1,0.03
21.2,0.03
21.3,0.03
21.4,0.03
21.5,0.03
21.6,0.03
21.7,0.03
21.8,0.03
21.9,0.03
22,0.03
22.1,0.03
22.2,0.03
22.3,0.03
22.4,0.03
22.5,0.03
22.6,0.03
22.7,0.03
22.8,0.03
22.9,0.03
23,0.03
23.1,0.03
23.2,0.03
23.3,0.03
23.4,0.03
23.5,0.03
23.6,0.03
23.7,0.03
23.8,0.03
23.9,0.03
24,0.03
24.1,0.03
24.2,0.03
24.3,0.03
24.4,0.03
24.5,0.03
24.6,0.03
24.7,0.03
24.8,0.03
24.9,0.03
25,0.03
