#λ,Reflectivity
#μm,
0.4,0.930871635
0.405,0.941556211
0.41,0.948957382
0.415,0.954522221
0.42,0.958449288
0.425,0.961623738
0.43,0.963673527
0.435,0.965555451
0.44,0.967099499
0.445,0.968100966
0.45,0.969124894
0.455,0.970018368
0.46,0.970514169
0.465,0.971055138
0.47,0.97146838
0.475,0.971774682
0.48,0.972043964
0.485,0.972229642
0.49,0.972309899
0.495,0.972501923
0.5,0.97248669
0.505,0.972496362
0.51,0.972482012
0.515,0.972314174
0.52,0.972205193
0.525,0.972060451
0.53,0.97176038
0.535,0.97155523
0.54,0.971527972
0.545,0.97131471
0.55,0.971074332
0.555,0.970799689
0.56,0.970392498
0.58,0.969148204
0.6,0.968073717
0.65,0.965289988
0.7,0.964172525
0.75,0.964849448
0.8,0.966621272
0.85,0.968997592
0.9,0.971216336
0.95,0.973582203
1,0.97581452
1.05,0.977667469
1.1,0.978832384
1.15,0.980298668
1.2,0.981642323
1.25,0.982788714
1.3,0.983574258
1.4,0.985076845
1.5,0.986586123
1.6,0.985704983
1.7,0.985261946
1.8,0.985520631
1.9,0.985758353
2,0.985847018
2.1,0.98601886
2.2,0.986781366
2.3,0.987278328
2.4,0.987356402
2.5,0.98842611
2.51256,0.989685449
2.52525,0.989724503
2.53807,0.99011008
2.55102,0.99049646
2.5641,0.990711777
2.57732,0.990449374
2.59067,0.989909323
2.60417,0.989965709
2.6178,0.99067516
2.63158,0.99105981
2.6455,0.990874211
2.65957,0.990487492
2.6738,0.990130032
2.68817,0.989798168
2.7027,0.989451966
2.71739,0.989052431
2.73224,0.988643139
2.74725,0.98812618
2.76243,0.987310424
2.77778,0.986393613
2.7933,0.985578609
2.80899,0.984806225
2.82486,0.984299037
2.84091,0.984289399
2.85714,0.98442933
2.87356,0.984344363
2.89017,0.984087834
2.90698,0.98378646
2.92398,0.983615813
2.94118,0.983733355
2.95858,0.984034516
2.97619,0.984300242
2.99401,0.98444918
3.01205,0.984577841
3.0303,0.984867918
3.04878,0.985375085
3.06748,0.985936996
3.08642,0.986367758
3.10559,0.986526523
3.125,0.986478149
3.14465,0.986403518
3.16456,0.986452812
3.18471,0.986637443
3.20513,0.986900483
3.22581,0.987222565
3.24675,0.98754377
3.26797,0.987757636
3.28947,0.987885981
3.31126,0.987965909
3.33333,0.988005772
3.3557,0.988049311
3.37838,0.988212399
3.40136,0.988462162
3.42466,0.988589953
3.44828,0.988541463
3.47222,0.988518136
3.4965,0.988640646
3.52113,0.988872506
3.5461,0.989068401
3.57143,0.989168305
3.59712,0.989147647
3.62319,0.989063754
3.64964,0.989085886
3.67647,0.989200218
3.7037,0.989301516
3.73134,0.989352551
3.7594,0.989422232
3.78788,0.989461545
3.81679,0.989422425
3.84615,0.989302818
3.87597,0.989229239
3.90625,0.98929325
3.93701,0.989370697
3.96825,0.989398713
4,0.989347807
4.03226,0.989343327
4.06504,0.989418091
4.09836,0.989505762
4.13223,0.989523459
4.16667,0.989475929
4.20168,0.989316854
4.23729,0.988822616
4.2735,0.98844473
4.31034,0.989253682
4.34783,0.989454283
4.38596,0.989571762
4.42478,0.989624938
4.46429,0.989650172
4.5045,0.989681227
4.54545,0.989720625
4.58716,0.989770452
4.62963,0.989807295
4.6729,0.989845947
4.71698,0.98986384
4.7619,0.989868604
4.80769,0.98990006
4.85437,0.989959215
4.90196,0.990011121
4.9505,0.990028476
5,0.990016484
5.02513,0.990007555
5.05051,0.990013407
5.07614,0.990018589
5.10204,0.990051378
5.12821,0.990064627
5.15464,0.990093407
5.18135,0.990124364
5.20833,0.990157821
5.2356,0.990191972
5.26316,0.990213997
5.29101,0.990229327
5.31915,0.990245643
5.34759,0.990245428
5.37634,0.990261341
5.40541,0.990271087
5.43478,0.990288908
5.46448,0.990313594
5.49451,0.990340524
5.52486,0.990364017
5.55556,0.990402311
5.58659,0.99042492
5.61798,0.990458732
5.64972,0.990474937
5.68182,0.990481862
5.71429,0.990489779
5.74713,0.990479087
5.78035,0.990482733
5.81395,0.990484325
5.84795,0.990488357
5.88235,0.99048065
5.91716,0.990481535
5.95238,0.990449761
5.98802,0.990401586
6.0241,0.990359471
6.06061,0.990306928
6.09756,0.990260275
6.13497,0.990227473
6.17284,0.990235376
6.21118,0.990248703
6.25,0.990264684
6.28931,0.9902754
6.32911,0.9902573
6.36943,0.990202093
6.41026,0.990107892
6.45161,0.99000424
6.49351,0.989900132
6.53595,0.989848776
6.57895,0.989859486
6.62252,0.989895395
6.66667,0.989972862
6.71141,0.990057526
6.75676,0.990119473
6.80272,0.990154416
6.84932,0.990178048
6.89655,0.990196195
6.94444,0.990200629
6.99301,0.990205447
7.04225,0.990231551
7.0922,0.990233308
7.14286,0.990254859
7.19424,0.990250073
7.24638,0.99024058
7.29927,0.990246874
7.35294,0.990250378
7.40741,0.990261043
7.46269,0.990286055
7.5188,0.990325294
7.57576,0.990339735
7.63359,0.990295522
7.69231,0.990159615
7.75194,0.989808965
7.8125,0.989182446
7.87402,0.988315379
7.93651,0.987282708
8,0.986204293
8.06452,0.985247925
8.13008,0.984514479
8.19672,0.984038742
8.26446,0.983767645
8.33333,0.983578826
8.40336,0.983361167
8.47458,0.983015115
8.54701,0.982604418
8.62069,0.982151815
8.69565,0.981722967
8.77193,0.981403583
8.84956,0.981159809
8.92857,0.980992345
9.00901,0.980854039
9.09091,0.980698516
9.17431,0.980552314
9.25926,0.980424475
9.34579,0.980404463
9.43396,0.980529187
9.52381,0.980828433
9.61538,0.981273597
9.70874,0.981793077
9.80392,0.98235144
9.90099,0.982900951
10,0.983428303
10.10101,0.983927002
10.20408,0.984433296
10.30928,0.984905408
10.41667,0.985358673
10.52632,0.98573717
10.6383,0.986053557
10.75269,0.986314411
10.86957,0.986558854
10.98901,0.98682165
11.11111,0.98713397
11.23596,0.987501415
11.36364,0.98788827
11.49425,0.988284513
11.62791,0.988636921
11.76471,0.988888493
11.90476,0.98902899
12.04819,0.989037634
12.19512,0.988953337
12.34568,0.98881281
12.5,0.988665202
12.65823,0.988517268
12.82051,0.988423282
12.98701,0.988382616
13.15789,0.988374302
13.33333,0.98839121
13.51351,0.988444193
13.69863,0.988499233
13.88889,0.988566501
14.08451,0.988633608
14.28571,0.988694619
14.49275,0.988731812
14.70588,0.988742858
14.92537,0.988773018
15.15152,0.988864295
15.38462,0.989788991
15.625,0.989774955
15.87302,0.989926288
16.12903,0.990126262
16.38504,0.990126262
16.64105,0.990126262
16.89706,0.990126262
17.15307,0.990126262
17.40908,0.990126262
17.66509,0.990126262
17.9211,0.990126262
18.17711,0.990126262
18.43312,0.990126262
18.68913,0.990126262
18.94514,0.990126262
19.20115,0.990126262
19.45716,0.990126262
19.71317,0.990126262
19.96918,0.990126262
20.22519,0.990126262
20.4812,0.990126262
20.73721,0.990126262
20.99322,0.990126262
21.24923,0.990126262
21.50524,0.990126262
21.76125,0.990126262
22.01726,0.990126262
22.27327,0.990126262
22.52928,0.990126262
22.78529,0.990126262
23.0413,0.990126262
23.29731,0.990126262
23.55332,0.990126262
23.80933,0.990126262
24.06534,0.990126262
24.32135,0.990126262
24.57736,0.990126262
24.83337,0.990126262
25.08938,0.990126262
