# Freq,Yaw,Pitch
# Hz,deg**2/Hz,deg**2/Hz
9.2114872128905382e-05,7.4317217880396737e-08,4.2822108295262057e-10
0.00013736074406790877,6.3888718116633873e-10,4.3290204790053911e-11
0.00020483092007646399,4.6723737825775989e-11,8.8624369723207178e-12
0.00030544174832533414,3.7736156888447264e-11,2.0669718545310715e-11
0.00045547157423893585,2.0280103720207576e-10,1.0108925052812806e-10
0.00067919449805770905,3.8589519420096181e-10,3.8400019848634057e-10
0.0010128078068596823,2.3865514917596013e-10,2.3154172018298395e-10
0.0015102885205480008,1.7937508489792232e-10,3.0644381910004914e-10
0.0022521266126210677,4.3497500223959015e-10,6.7511239462197378e-10
0.0033583478986092463,5.8282906814306724e-10,6.0628120451843601e-10
0.0050079336325443112,1.0869595615327705e-09,8.207574939753364e-10
0.0074677788082510108,1.328848410292015e-09,2.2399883262432464e-09
0.011135874478558089,5.9102305888902592e-09,4.7579356815906733e-09
0.016605700782833532,7.9204086697720001e-09,1.0974117115492205e-08
0.024762249163273891,1.4794764711279607e-08,1.172087165748552e-08
0.03692520970014912,9.800224613636561e-09,9.6990187098785026e-09
0.055062490584345536,5.1070721535523442e-09,4.4042289229350791e-09
0.082108616145215724,2.0969515802212914e-09,1.7907205004381052e-09
0.12243951869476652,6.1486296444928234e-10,5.5373716456726871e-10
0.18258054321232883,2.1567371875794454e-10,1.7537237204594061e-10
0.27226221660355099,9.4393233253941988e-11,7.2969033985560095e-11
0.40599459989378273,5.2105870518761858e-11,4.4952610901246957e-11
0.60541494592666489,2.7547734207333107e-11,2.8540963400080524e-11
0.90278850222953233,1.8507000430375752e-11,1.8594477412914551e-11
1.3462288720182487,9.7565802942235916e-12,1.043324699886115e-11
2.0074825625047037,3.6244380471456925e-12,4.7379286121383547e-12
2.9935372227745729,7.4500228744666933e-13,1.9132319324765271e-12
4.4639317279827688,5.0103965853718252e-13,1.8544506673500734e-12
6.6565687977723194,4.3718901924444354e-13,1.6051974079122879e-12
